Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:10:00.533975, 3, 28, 16, 8987/11016, 83.589/250.0, 67, 1350
23:10:01.537418, 0, 26, 6, 8889/11019, 67.724/250.0, 51, 1350
23:10:01.539557, 1, 27, 9, 8889/11019, 61.521/250.0, 50, 1350
23:10:01.541742, 2, 36, 13, 8889/11019, 86.249/250.0, 60, 1470
23:10:01.544021, 3, 27, 15, 8987/11016, 74.07600000000001/250.0, 67, 1350
23:10:02.547230, 0, 26, 6, 8889/11019, 65.071/250.0, 51, 1350
23:10:02.549410, 1, 26, 9, 8889/11019, 61.861000000000004/250.0, 50, 1350
23:10:02.551575, 2, 36, 13, 8889/11019, 81.253/250.0, 61, 1530
23:10:02.553760, 3, 28, 16, 8987/11016, 81.417/250.0, 67, 1350
23:10:03.557299, 0, 28, 6, 8889/11019, 65.173/250.0, 51, 1350
23:10:03.560599, 1, 27, 9, 8889/11019, 64.932/250.0, 50, 1350
23:10:03.563585, 2, 36, 13, 8889/11019, 76.57300000000001/250.0, 60, 1470
23:10:03.567195, 3, 26, 15, 8987/11016, 74.149/250.0, 67, 1350
23:10:04.571533, 0, 27, 6, 8889/11019, 66.237/250.0, 51, 1350
23:10:04.573809, 1, 27, 10, 8889/11019, 63.642/250.0, 50, 1350
23:10:04.576032, 2, 36, 13, 8889/11019, 75.408/250.0, 60, 1395
23:10:04.581031, 3, 25, 14, 8987/11016, 76.137/250.0, 67, 1350
23:10:05.584492, 0, 26, 6, 8889/11019, 67.221/250.0, 51, 1350
23:10:05.587877, 1, 29, 10, 8889/11019, 61.297000000000004/250.0, 50, 1350
23:10:05.590310, 2, 35, 13, 8889/11019, 80.726/250.0, 61, 1500
23:10:05.592586, 3, 29, 16, 8987/11016, 76.57000000000001/250.0, 67, 1350
23:10:06.595208, 0, 26, 6, 8889/11019, 67.31400000000001/250.0, 51, 1350
23:10:06.598120, 1, 28, 10, 8889/11019, 61.284/250.0, 50, 1350
23:10:06.600264, 2, 38, 13, 8889/11019, 89.007/250.0, 61, 1620
23:10:06.602648, 3, 26, 14, 8987/11016, 73.96900000000001/250.0, 67, 1350
23:10:07.606958, 0, 30, 6, 8889/11019, 65.151/250.0, 51, 1350
23:10:07.609573, 1, 29, 10, 8889/11019, 61.821/250.0, 50, 1350
23:10:07.612235, 2, 34, 12, 8889/11019, 97.345/250.0, 61, 1635
23:10:07.614794, 3, 27, 15, 8987/11016, 75.022/250.0, 67, 1350
23:10:08.620323, 0, 27, 6, 8889/11019, 67.82900000000001/250.0, 51, 1350
23:10:08.622717, 1, 30, 10, 8889/11019, 67.118/250.0, 50, 1350
23:10:08.627099, 2, 41, 15, 8889/11019, 137.207/250.0, 63, 1845
23:10:08.629827, 3, 28, 15, 8987/11016, 98.383/250.0, 67, 1440
23:10:09.633258, 0, 34, 8, 8889/11019, 87.425/250.0, 52, 1890
23:10:09.635461, 1, 37, 13, 8889/11019, 79.566/250.0, 51, 1875
23:10:09.637549, 2, 36, 14, 8889/11019, 90.178/250.0, 62, 1845
23:10:09.640117, 3, 37, 21, 8987/11016, 96.901/250.0, 68, 1860
23:10:10.643242, 0, 31, 7, 8889/11019, 106.155/250.0, 53, 1890
23:10:10.645689, 1, 24, 9, 8889/11019, 95.168/250.0, 52, 1875
23:10:10.648740, 2, 20, 8, 8889/11019, 114.281/250.0, 63, 1845
23:10:10.653178, 3, 15, 9, 8987/11016, 155.446/250.0, 70, 1860
23:10:11.656629, 0, 23, 4, 8889/11019, 109.3/250.0, 53, 1890
23:10:11.658899, 1, 21, 7, 8889/11019, 111.35300000000001/250.0, 53, 1875
23:10:11.661477, 2, 59, 20, 8889/11019, 94.055/250.0, 62, 1845
23:10:11.663945, 3, 49, 28, 8987/11016, 153.291/250.0, 70, 1860
23:10:12.667270, 0, 58, 10, 8889/11019, 88.313/250.0, 53, 1890
23:10:12.669469, 1, 59, 19, 8889/11019, 79.737/250.0, 52, 1875
23:10:12.671570, 2, 24, 8, 8889/11019, 91.493/250.0, 62, 1845
23:10:12.673671, 3, 14, 8, 8987/11016, 98.167/250.0, 69, 1860
23:10:13.677384, 0, 0, 0, 8889/11019, 60.15/250.0, 52, 1350
23:10:13.679946, 1, 3, 1, 8889/11019, 79.97/250.0, 52, 1875
23:10:13.683965, 2, 0, 0, 8889/11019, 63.362/250.0, 61, 1350
23:10:13.686012, 3, 0, 0, 8987/11016, 64.245/250.0, 67, 1350
23:10:14.689402, 0, 2, 0, 8889/11019, 60.314/250.0, 51, 1350
23:10:14.691394, 1, 1, 0, 8889/11019, 54.883/250.0, 51, 1350
23:10:14.693320, 2, 8, 0, 8889/11019, 63.562000000000005/250.0, 61, 1350
23:10:14.695358, 3, 8, 0, 8987/11016, 64.11/250.0, 67, 1350
23:10:15.698802, 0, 8, 0, 8889/11019, 60.298/250.0, 51, 1350
23:10:15.700969, 1, 6, 0, 8889/11019, 54.07/250.0, 50, 1350
23:10:15.703076, 2, 2, 0, 8889/11019, 63.642/250.0, 61, 1350
23:10:15.705960, 3, 0, 0, 8987/11016, 64.047/250.0, 67, 1350
23:10:16.711194, 0, 0, 0, 8889/11019, 60.515/250.0, 51, 1350
23:10:16.714213, 1, 0, 0, 8889/11019, 54.348/250.0, 50, 1350
23:10:16.716422, 2, 0, 0, 8889/11019, 63.7/250.0, 61, 1350
23:10:16.720548, 3, 0, 0, 8987/11016, 85.62/250.0, 68, 1350
23:10:17.723299, 0, 0, 0, 8889/11019, 230.898/250.0, 57, 1830
23:10:17.725902, 1, 0, 0, 8889/11019, 242.05/250.0, 56, 1845
23:10:17.728307, 2, 28, 17, 8889/11019, 251.32500000000002/250.0, 66, 1785
23:10:17.737632, 3, 59, 37, 8987/11016, 240.99/250.0, 73, 1800
23:10:18.741865, 0, 58, 37, 8889/11019, 99.645/250.0, 55, 1875
23:10:18.744194, 1, 86, 57, 8889/11019, 99.98/250.0, 53, 1875
23:10:18.746659, 2, 83, 52, 8889/11019, 128.987/250.0, 64, 1845
23:10:18.749161, 3, 58, 37, 8987/11016, 126.694/250.0, 71, 1845
23:10:19.752964, 0, 59, 32, 8889/11019, 100.389/250.0, 54, 1875
23:10:19.755313, 1, 39, 19, 8889/11019, 100.684/250.0, 53, 1875
23:10:19.757591, 2, 42, 15, 8889/11019, 128.812/250.0, 64, 1845
23:10:19.762675, 3, 31, 17, 8987/11016, 135.02100000000002/250.0, 70, 1620
23:10:20.766145, 0, 33, 8, 8889/11019, 83.721/250.0, 54, 1665
23:10:20.768645, 1, 34, 12, 8889/11019, 83.985/250.0, 52, 1665
23:10:20.770876, 2, 42, 16, 8889/11019, 129.09/250.0, 64, 1845
23:10:20.773018, 3, 32, 18, 8987/11016, 91.305/250.0, 69, 1485
23:10:21.776509, 0, 34, 7, 8889/11019, 75.485/250.0, 53, 1530
23:10:21.778791, 1, 34, 11, 8889/11019, 77.535/250.0, 52, 1545
23:10:21.783219, 2, 43, 15, 8889/11019, 124.379/250.0, 65, 1845
23:10:21.785816, 3, 34, 18, 8987/11016, 81.566/250.0, 69, 1410
23:10:22.791394, 0, 32, 7, 8889/11019, 70.795/250.0, 53, 1410
23:10:22.794060, 1, 32, 12, 8889/11019, 68.83200000000001/250.0, 52, 1425
23:10:22.797546, 2, 42, 16, 8889/11019, 118.712/250.0, 65, 1845
23:10:22.802511, 3, 33, 18, 8987/11016, 76.456/250.0, 68, 1350
23:10:23.806231, 0, 32, 7, 8889/11019, 67.47/250.0, 53, 1350
23:10:23.808455, 1, 33, 12, 8889/11019, 69.164/250.0, 52, 1350
23:10:23.810597, 2, 43, 16, 8889/11019, 118.82600000000001/250.0, 65, 1845
23:10:23.812742, 3, 34, 18, 8987/11016, 82.59100000000001/250.0, 68, 1350
23:10:24.816520, 0, 34, 7, 8889/11019, 68.145/250.0, 52, 1350
23:10:24.818870, 1, 32, 11, 8889/11019, 70.792/250.0, 52, 1350
23:10:24.821180, 2, 43, 16, 8889/11019, 115.07300000000001/250.0, 65, 1845
23:10:24.823483, 3, 33, 18, 8987/11016, 79.19200000000001/250.0, 68, 1350
23:10:25.827396, 0, 34, 8, 8889/11019, 66.09700000000001/250.0, 53, 1350
23:10:25.829655, 1, 34, 12, 8889/11019, 64.33/250.0, 52, 1350
23:10:25.832605, 2, 40, 15, 8889/11019, 130.576/250.0, 65, 1845
