Core_power_sum(W),CPU_power(W),CPU_usage(%),Time(s)
101.778,140.374,49,425.439767
99.5909,138.735,50,426.440803
87.6215,126.219,41,427.441787
89.3521,127.119,44,428.44295
79.5738,117.48,38,429.444114
74.4831,111.992,34,430.445137
88.9044,127.051,42,431.446114
94.0798,132.292,46,432.44705
100.433,139.159,50,433.447961
100.933,140.261,51,434.449045
99.6012,138.703,50,435.45002
96.8461,135.669,49,436.451018
76.802,114.658,37,437.452034
90.815,128.454,44,438.452983
72.7315,110.414,32,439.45423
74.8562,112.099,33,440.455261
88.8501,126.768,43,441.456236
98.2725,136.795,49,442.457279
97.7675,136.915,49,443.458253
95.8921,134.866,48,444.459425
90.4987,129.114,46,445.460513
88.477,126.894,42,446.461532
75.114,112.576,34,447.462595
81.4327,119.198,37,448.463518
85.2994,122.374,39,449.464445
91.9937,130.347,45,450.465402
94.5554,133.588,47,451.4664
95.396,134.527,47,452.467471
97.6867,136.358,48,453.468472
96.7696,135.153,49,454.469546
101.95,141.021,51,455.470473
80.1889,118.059,38,456.471357
78.0136,115.908,36,457.472236
76.7253,113.859,35,458.47326
92.3048,129.713,45,459.474193
97.9321,136.968,49,460.475113
90.1492,128.83,45,461.476085
98.9268,137.617,49,462.477083
89.0011,127.744,43,463.47795
89.1561,127.803,44,464.478784
87.9811,126.276,42,465.47974
85.8166,123.039,40,466.480716
83.181,121.591,39,467.48171
80.0752,117.918,38,468.482562
92.0913,130.378,45,469.483406
99.1287,138.311,50,470.484425
91.8362,130.693,46,471.485456
101.206,140.108,51,472.486507
92.0925,130.892,45,473.487527
91.021,129.742,45,474.488441
75.2538,112.84,34,475.489272
79.1134,115.986,35,476.490119
88.7358,126.601,43,477.49104
74.9264,112.06,34,478.491987
96.1669,134.944,47,479.492909
88.6514,127.228,43,480.493871
87.0932,125.569,42,481.494896
94.7956,132.789,45,482.495886
107.105,144.743,53,483.496925
90.7004,129.066,43,484.497911
88.4395,126.872,42,485.498969
81.0009,119.056,37,486.500095
94.21,132.483,45,487.501162
91.9449,130.801,46,488.502187
106.049,144.857,53,489.503171
93.0613,131.91,46,490.504075
92.0648,130.915,45,491.504976
91.5069,130.154,44,492.505987
