Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
07:05:58.356353, 3, 0, 0, 99/11016, 24.599/250.0, 48, 300
07:05:59.359839, 0, 69, 18, 8377/11019, 123.46600000000001/250.0, 69, 1830
07:05:59.362487, 1, 0, 0, 1/11019, 18.884/250.0, 40, 300
07:05:59.365569, 2, 0, 0, 1/11019, 3.09/250.0, 41, 300
07:05:59.369106, 3, 0, 0, 99/11016, 24.656/250.0, 48, 300
07:06:00.372376, 0, 69, 18, 8377/11019, 125.762/250.0, 70, 1830
07:06:00.374989, 1, 0, 0, 1/11019, 19.365000000000002/250.0, 40, 300
07:06:00.377677, 2, 0, 0, 1/11019, 3.007/250.0, 41, 300
07:06:00.380200, 3, 0, 0, 99/11016, 24.474/250.0, 48, 300
07:06:01.383476, 0, 56, 15, 8377/11019, 113.535/250.0, 69, 1845
07:06:01.387026, 1, 0, 0, 1/11019, 19.117/250.0, 40, 300
07:06:01.390043, 2, 0, 0, 1/11019, 2.782/250.0, 41, 300
07:06:01.392660, 3, 0, 0, 99/11016, 24.379/250.0, 48, 300
07:06:02.396546, 0, 53, 8, 8377/11019, 109.276/250.0, 68, 1845
07:06:02.399229, 1, 0, 0, 1/11019, 19.367/250.0, 40, 300
07:06:02.402192, 2, 0, 0, 1/11019, 2.6670000000000003/250.0, 41, 300
07:06:02.405134, 3, 0, 0, 99/11016, 24.654/250.0, 48, 300
07:06:03.408418, 0, 65, 10, 8377/11019, 96.498/250.0, 68, 1845
07:06:03.411123, 1, 0, 0, 1/11019, 19.273/250.0, 40, 300
07:06:03.414119, 2, 0, 0, 1/11019, 2.298/250.0, 41, 300
07:06:03.416784, 3, 0, 0, 99/11016, 24.42/250.0, 48, 300
07:06:04.420236, 0, 6, 0, 8377/11019, 112.718/250.0, 68, 1845
07:06:04.424896, 1, 0, 0, 1/11019, 19.122/250.0, 40, 300
07:06:04.427843, 2, 0, 0, 1/11019, 3.1750000000000003/250.0, 41, 300
07:06:04.430443, 3, 0, 0, 99/11016, 24.176000000000002/250.0, 48, 300
07:06:05.433970, 0, 52, 14, 8377/11019, 127.324/250.0, 69, 1845
07:06:05.436768, 1, 0, 0, 1/11019, 19.366/250.0, 40, 300
07:06:05.439770, 2, 0, 0, 1/11019, 3.431/250.0, 41, 300
07:06:05.442494, 3, 0, 0, 99/11016, 24.365000000000002/250.0, 48, 300
07:06:06.446255, 0, 69, 18, 8377/11019, 127.154/250.0, 68, 1845
07:06:06.449218, 1, 0, 0, 1/11019, 19.307000000000002/250.0, 40, 300
07:06:06.452748, 2, 0, 0, 1/11019, 3.033/250.0, 41, 300
07:06:06.455396, 3, 0, 0, 99/11016, 24.23/250.0, 48, 300
07:06:07.458816, 0, 69, 18, 8377/11019, 126.811/250.0, 68, 1845
07:06:07.461951, 1, 0, 0, 1/11019, 19.301000000000002/250.0, 40, 300
07:06:07.464902, 2, 0, 0, 1/11019, 3.099/250.0, 41, 300
07:06:07.467563, 3, 0, 0, 99/11016, 24.355/250.0, 48, 300
07:06:08.471078, 0, 70, 18, 8377/11019, 126.578/250.0, 68, 1845
07:06:08.473876, 1, 0, 0, 1/11019, 19.6/250.0, 40, 300
07:06:08.476919, 2, 0, 0, 1/11019, 3.176/250.0, 41, 300
07:06:08.480111, 3, 0, 0, 99/11016, 24.121000000000002/250.0, 48, 300
07:06:09.483186, 0, 70, 19, 8377/11019, 126.536/250.0, 68, 1845
07:06:09.486096, 1, 0, 0, 1/11019, 19.484/250.0, 40, 300
07:06:09.489152, 2, 0, 0, 1/11019, 2.96/250.0, 41, 300
07:06:09.491870, 3, 0, 0, 99/11016, 24.39/250.0, 48, 300
07:06:10.495452, 0, 70, 19, 8377/11019, 126.093/250.0, 68, 1845
07:06:10.498987, 1, 0, 0, 1/11019, 19.249/250.0, 40, 300
07:06:10.501749, 2, 0, 0, 1/11019, 2.821/250.0, 41, 300
07:06:10.504396, 3, 0, 0, 99/11016, 24.412/250.0, 48, 300
07:06:11.507985, 0, 70, 19, 8377/11019, 126.49300000000001/250.0, 68, 1845
07:06:11.510694, 1, 0, 0, 1/11019, 19.61/250.0, 40, 300
07:06:11.513700, 2, 0, 0, 1/11019, 3.466/250.0, 41, 300
07:06:11.516428, 3, 0, 0, 99/11016, 24.293/250.0, 48, 300
07:06:12.519888, 0, 70, 18, 8377/11019, 127.607/250.0, 68, 1845
07:06:12.522698, 1, 0, 0, 1/11019, 19.619/250.0, 40, 300
07:06:12.526537, 2, 0, 0, 1/11019, 3.412/250.0, 41, 300
07:06:12.533510, 3, 0, 0, 99/11016, 24.499/250.0, 48, 300
07:06:13.537073, 0, 70, 18, 8377/11019, 125.682/250.0, 67, 1845
07:06:13.539921, 1, 0, 0, 1/11019, 18.973/250.0, 40, 300
07:06:13.542933, 2, 0, 0, 1/11019, 2.633/250.0, 41, 300
07:06:13.545966, 3, 0, 0, 99/11016, 24.41/250.0, 48, 300
07:06:14.549582, 0, 66, 18, 8377/11019, 111.186/250.0, 67, 1845
07:06:14.552401, 1, 0, 0, 1/11019, 19.375/250.0, 40, 300
