Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
23:39:57.723636, 3, 0, 0, 98/11016, 24.954/250.0, 49, 300
23:39:58.728539, 0, 0, 0, 8889/11019, 92.60900000000001/250.0, 62, 1860
23:39:58.732221, 1, 0, 0, 8889/11019, 76.866/250.0, 46, 1890
23:39:58.736014, 2, 23, 8, 8889/11019, 84.291/250.0, 52, 1875
23:39:58.740838, 3, 0, 0, 98/11016, 25.011/250.0, 49, 300
23:39:59.747855, 0, 2, 0, 8889/11019, 63.108000000000004/250.0, 61, 1350
23:39:59.751764, 1, 1, 0, 8889/11019, 49.346000000000004/250.0, 45, 1350
23:39:59.758792, 2, 0, 0, 8889/11019, 59.798/250.0, 51, 1350
23:39:59.764341, 3, 0, 0, 98/11016, 24.642/250.0, 49, 300
23:40:00.771242, 0, 7, 0, 8889/11019, 62.952/250.0, 60, 1350
23:40:00.775069, 1, 6, 0, 8889/11019, 48.467/250.0, 45, 1350
23:40:00.778942, 2, 9, 0, 8889/11019, 60.449/250.0, 50, 1350
23:40:00.785680, 3, 0, 0, 99/11016, 24.757/250.0, 49, 300
23:40:01.791740, 0, 0, 0, 8889/11019, 62.937000000000005/250.0, 60, 1350
23:40:01.796069, 1, 0, 0, 8889/11019, 48.13/250.0, 45, 1350
23:40:01.802577, 2, 0, 0, 8889/11019, 60.373000000000005/250.0, 50, 1350
23:40:01.812131, 3, 0, 0, 99/11016, 24.595/250.0, 49, 300
23:40:02.817076, 0, 6, 3, 8889/11019, 249.18800000000002/250.0, 66, 1785
23:40:02.825938, 1, 17, 11, 8889/11019, 201.131/250.0, 50, 1845
23:40:02.830041, 2, 0, 0, 8889/11019, 143.729/250.0, 54, 1800
23:40:02.837403, 3, 0, 0, 99/11016, 24.285/250.0, 49, 300
23:40:03.843548, 0, 82, 55, 8889/11019, 106.861/250.0, 63, 1860
23:40:03.849939, 1, 81, 55, 8889/11019, 108.58500000000001/250.0, 49, 1875
23:40:03.854676, 2, 63, 42, 8889/11019, 161.82/250.0, 54, 1860
23:40:03.859749, 3, 0, 0, 99/11016, 23.948/250.0, 49, 300
23:40:04.865025, 0, 41, 14, 8889/11019, 106.179/250.0, 63, 1860
23:40:04.870173, 1, 35, 12, 8889/11019, 95.364/250.0, 49, 1875
23:40:04.874727, 2, 60, 35, 8889/11019, 109.416/250.0, 54, 1860
23:40:04.880436, 3, 0, 0, 99/11016, 24.416/250.0, 49, 300
23:40:05.887587, 0, 30, 7, 8889/11019, 79.587/250.0, 61, 1545
23:40:05.891387, 1, 33, 12, 8889/11019, 78.245/250.0, 48, 1620
23:40:05.895308, 2, 40, 15, 8889/11019, 120.801/250.0, 54, 1860
23:40:05.900169, 3, 0, 0, 99/11016, 24.629/250.0, 49, 300
23:40:06.906083, 0, 34, 7, 8889/11019, 73.289/250.0, 61, 1440
23:40:06.911988, 1, 34, 12, 8889/11019, 68.422/250.0, 47, 1515
23:40:06.916323, 2, 40, 15, 8889/11019, 118.281/250.0, 54, 1860
23:40:06.923994, 3, 0, 0, 99/11016, 24.293/250.0, 49, 300
23:40:07.929269, 0, 30, 7, 8889/11019, 70.782/250.0, 60, 1350
23:40:07.935287, 1, 33, 12, 8889/11019, 63.218/250.0, 47, 1410
23:40:07.939432, 2, 39, 15, 8889/11019, 110.87100000000001/250.0, 55, 1860
23:40:07.944444, 3, 0, 0, 99/11016, 24.18/250.0, 49, 300
23:40:08.948905, 0, 36, 8, 8889/11019, 70.571/250.0, 60, 1350
23:40:08.953402, 1, 34, 12, 8889/11019, 64.503/250.0, 47, 1350
23:40:08.959014, 2, 39, 15, 8889/11019, 109.89/250.0, 55, 1860
23:40:08.964645, 3, 0, 0, 99/11016, 24.394000000000002/250.0, 49, 300
23:40:09.970380, 0, 34, 7, 8889/11019, 70.492/250.0, 60, 1350
23:40:09.975868, 1, 35, 12, 8889/11019, 64.852/250.0, 47, 1350
23:40:09.979544, 2, 39, 15, 8889/11019, 121.49600000000001/250.0, 55, 1860
23:40:09.983002, 3, 0, 0, 99/11016, 24.103/250.0, 49, 300
23:40:10.986439, 0, 32, 7, 8889/11019, 71.20100000000001/250.0, 60, 1350
23:40:10.990154, 1, 35, 13, 8889/11019, 61.133/250.0, 47, 1350
23:40:10.994392, 2, 39, 15, 8889/11019, 121.545/250.0, 55, 1860
23:40:11.000676, 3, 0, 0, 99/11016, 24.111/250.0, 49, 300
23:40:12.004282, 0, 33, 7, 8889/11019, 70.401/250.0, 59, 1350
23:40:12.009271, 1, 35, 12, 8889/11019, 61.822/250.0, 47, 1350
23:40:12.015651, 2, 39, 15, 8889/11019, 110.31/250.0, 56, 1860
23:40:12.023950, 3, 0, 0, 99/11016, 24.319/250.0, 49, 300
23:40:13.027407, 0, 32, 7, 8889/11019, 69.909/250.0, 59, 1350
23:40:13.034308, 1, 32, 12, 8889/11019, 66.938/250.0, 47, 1350
23:40:13.039173, 2, 40, 15, 8889/11019, 122.004/250.0, 56, 1860
23:40:13.048649, 3, 0, 0, 99/11016, 24.361/250.0, 49, 300
23:40:14.053232, 0, 32, 7, 8889/11019, 69.769/250.0, 59, 1350
23:40:14.057765, 1, 33, 12, 8889/11019, 64.543/250.0, 47, 1350
23:40:14.063838, 2, 41, 16, 8889/11019, 110.303/250.0, 56, 1860
23:40:14.068658, 3, 0, 0, 99/11016, 24.275000000000002/250.0, 49, 300
23:40:15.073534, 0, 33, 7, 8889/11019, 70.214/250.0, 59, 1350
23:40:15.079363, 1, 34, 12, 8889/11019, 64.45400000000001/250.0, 47, 1350
23:40:15.083325, 2, 41, 15, 8889/11019, 122.34400000000001/250.0, 57, 1860
23:40:15.088220, 3, 0, 0, 99/11016, 24.138/250.0, 49, 300
23:40:16.092317, 0, 33, 8, 8889/11019, 98.184/250.0, 60, 1860
23:40:16.096243, 1, 42, 15, 8889/11019, 120.072/250.0, 49, 1875
23:40:16.100077, 2, 40, 16, 8889/11019, 97.20700000000001/250.0, 56, 1860
23:40:16.105163, 3, 0, 0, 99/11016, 24.133/250.0, 49, 300
23:40:17.111063, 0, 38, 8, 8889/11019, 108.35000000000001/250.0, 60, 1860
23:40:17.117367, 1, 17, 6, 8889/11019, 80.433/250.0, 49, 1875
23:40:17.125649, 2, 50, 19, 8889/11019, 130.4/250.0, 57, 1860
23:40:17.130120, 3, 0, 0, 99/11016, 24.414/250.0, 49, 300
23:40:18.134888, 0, 38, 7, 8889/11019, 117.617/250.0, 61, 1860
23:40:18.139065, 1, 47, 14, 8889/11019, 124.298/250.0, 50, 1875
23:40:18.145785, 2, 14, 6, 8889/11019, 127.892/250.0, 58, 1860
23:40:18.151525, 3, 0, 0, 99/11016, 24.037/250.0, 49, 300
23:40:19.158512, 0, 45, 8, 8889/11019, 91.653/250.0, 60, 1860
