Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:27:29.468783, 2, 64, 17, 8377/11019, 118.258/250.0, 51, 1860
13:27:29.472243, 3, 0, 0, 98/11016, 23.781/250.0, 46, 300
13:27:30.476413, 0, 70, 16, 8377/11019, 110.337/250.0, 46, 1890
13:27:30.479194, 1, 62, 12, 8377/11019, 100.382/250.0, 49, 1890
13:27:30.482057, 2, 64, 17, 8377/11019, 110.138/250.0, 51, 1860
13:27:30.485005, 3, 0, 0, 98/11016, 23.988/250.0, 46, 300
13:27:31.488579, 0, 68, 16, 8377/11019, 96.245/250.0, 46, 1890
13:27:31.491296, 1, 60, 11, 8377/11019, 94.316/250.0, 48, 1890
13:27:31.494424, 2, 62, 16, 8377/11019, 125.412/250.0, 52, 1860
13:27:31.498541, 3, 0, 0, 98/11016, 23.399/250.0, 46, 300
13:27:32.502429, 0, 66, 16, 8377/11019, 97.146/250.0, 46, 1890
13:27:32.504889, 1, 35, 8, 8377/11019, 89.796/250.0, 48, 1890
13:27:32.507727, 2, 65, 17, 8377/11019, 104.784/250.0, 52, 1860
13:27:32.510937, 3, 0, 0, 98/11016, 23.396/250.0, 46, 300
13:27:33.514236, 0, 70, 16, 8377/11019, 110.681/250.0, 46, 1890
13:27:33.516415, 1, 56, 6, 8377/11019, 90.087/250.0, 48, 1890
13:27:33.518686, 2, 63, 17, 8377/11019, 125.9/250.0, 52, 1860
13:27:33.521489, 3, 0, 0, 98/11016, 23.296/250.0, 46, 300
13:27:34.525617, 0, 68, 15, 8377/11019, 97.48/250.0, 47, 1890
13:27:34.528859, 1, 56, 7, 8377/11019, 89.98/250.0, 49, 1890
13:27:34.531432, 2, 64, 17, 8377/11019, 125.998/250.0, 52, 1860
13:27:34.534946, 3, 0, 0, 98/11016, 23.282/250.0, 46, 300
13:27:35.538979, 0, 67, 15, 8377/11019, 108.498/250.0, 47, 1890
13:27:35.541468, 1, 53, 6, 8377/11019, 90.154/250.0, 49, 1890
13:27:35.543716, 2, 63, 17, 8377/11019, 105.327/250.0, 52, 1860
13:27:35.546577, 3, 0, 0, 98/11016, 23.595/250.0, 46, 300
13:27:36.550016, 0, 68, 16, 8377/11019, 112.967/250.0, 47, 1890
13:27:36.598058, 1, 52, 6, 8377/11019, 174.755/250.0, 51, 1860
13:27:36.603082, 2, 64, 17, 8377/11019, 126.053/250.0, 53, 1860
13:27:36.606141, 3, 0, 0, 98/11016, 23.435/250.0, 46, 300
13:27:37.609811, 0, 65, 17, 8377/11019, 110.449/250.0, 48, 1890
13:27:37.612373, 1, 26, 19, 8377/11019, 100.5/250.0, 50, 1875
13:27:37.614690, 2, 68, 18, 8377/11019, 121.889/250.0, 53, 1860
13:27:37.617467, 3, 0, 0, 98/11016, 23.355/250.0, 46, 300
13:27:38.621757, 0, 69, 16, 8377/11019, 90.133/250.0, 47, 1890
13:27:38.624443, 1, 64, 26, 8377/11019, 100.568/250.0, 50, 1875
13:27:38.628759, 2, 58, 16, 8377/11019, 99.24000000000001/250.0, 53, 1860
13:27:38.631643, 3, 0, 0, 98/11016, 23.732/250.0, 46, 300
13:27:39.635368, 0, 36, 5, 8377/11019, 93.449/250.0, 47, 1890
13:27:39.637867, 1, 60, 12, 8377/11019, 101.089/250.0, 50, 1875
13:27:39.640288, 2, 44, 10, 8377/11019, 113.819/250.0, 53, 1860
