Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
13:56:06.002910, 0, 69, 16, 8377/11019, 127.72/250.0, 69, 1845
13:56:06.006031, 1, 58, 7, 8377/11019, 92.528/250.0, 52, 1890
13:56:06.010211, 2, 8, 2, 8377/11019, 117.435/250.0, 56, 1845
13:56:06.012843, 3, 0, 0, 99/11016, 24.112000000000002/250.0, 49, 300
13:56:07.016791, 0, 67, 15, 8377/11019, 115.47800000000001/250.0, 69, 1845
13:56:07.019819, 1, 54, 6, 8377/11019, 93.743/250.0, 52, 1890
13:56:07.022114, 2, 69, 19, 8377/11019, 119.046/250.0, 57, 1845
13:56:07.024927, 3, 0, 0, 99/11016, 23.934/250.0, 49, 300
13:56:08.028404, 0, 66, 17, 8377/11019, 118.285/250.0, 68, 1845
13:56:08.050400, 1, 49, 6, 8377/11019, 244.70600000000002/250.0, 55, 1860
13:56:08.058362, 2, 70, 20, 8377/11019, 118.635/250.0, 57, 1845
13:56:08.060894, 3, 0, 0, 99/11016, 23.878/250.0, 49, 300
13:56:09.064576, 0, 66, 16, 8377/11019, 111.83200000000001/250.0, 68, 1845
13:56:09.067282, 1, 24, 16, 8377/11019, 101.779/250.0, 53, 1875
13:56:09.069969, 2, 73, 21, 8377/11019, 127.283/250.0, 58, 1845
13:56:09.072933, 3, 0, 0, 99/11016, 23.912/250.0, 49, 300
13:56:10.076656, 0, 39, 9, 8377/11019, 108.843/250.0, 67, 1845
13:56:10.079217, 1, 64, 26, 8377/11019, 102.784/250.0, 53, 1875
13:56:10.081754, 2, 69, 19, 8377/11019, 118.381/250.0, 57, 1845
13:56:10.084863, 3, 0, 0, 99/11016, 24.196/250.0, 49, 300
13:56:11.089027, 0, 62, 8, 8377/11019, 108.486/250.0, 67, 1845
13:56:11.092653, 1, 57, 11, 8377/11019, 102.925/250.0, 53, 1875
13:56:11.095347, 2, 70, 20, 8377/11019, 120.244/250.0, 58, 1845
13:56:11.098435, 3, 0, 0, 99/11016, 24.206/250.0, 49, 300
13:56:12.101803, 0, 61, 7, 8377/11019, 96.288/250.0, 67, 1845
13:56:12.103979, 1, 61, 12, 8377/11019, 103.07300000000001/250.0, 53, 1875
13:56:12.106251, 2, 70, 19, 8377/11019, 118.551/250.0, 58, 1845
13:56:12.109265, 3, 0, 0, 99/11016, 24.263/250.0, 49, 300
13:56:13.112868, 0, 11, 1, 8377/11019, 94.677/250.0, 66, 1845
13:56:13.117316, 1, 58, 11, 8377/11019, 106.22200000000001/250.0, 53, 1875
13:56:13.120031, 2, 73, 21, 8377/11019, 132.25/250.0, 59, 1845
13:56:13.124938, 3, 0, 0, 99/11016, 23.763/250.0, 49, 300
13:56:14.128299, 0, 28, 6, 8377/11019, 116.99000000000001/250.0, 67, 1845
13:56:14.130634, 1, 55, 12, 8377/11019, 103.97800000000001/250.0, 53, 1875
13:56:14.132928, 2, 71, 20, 8377/11019, 85.316/250.0, 58, 1845
13:56:14.135813, 3, 0, 0, 99/11016, 24.204/250.0, 49, 300
13:56:15.140685, 0, 67, 16, 8377/11019, 123.657/250.0, 67, 1845
13:56:15.145008, 1, 60, 12, 8377/11019, 104.034/250.0, 54, 1875
13:56:15.148414, 2, 32, 7, 8377/11019, 108.767/250.0, 59, 1845
13:56:15.151379, 3, 0, 0, 99/11016, 24.023/250.0, 49, 300
13:56:16.155226, 0, 68, 16, 8377/11019, 124.933/250.0, 67, 1845
13:56:16.157741, 1, 60, 11, 8377/11019, 104.179/250.0, 54, 1875
13:56:16.159833, 2, 68, 15, 8377/11019, 85.343/250.0, 58, 1845
13:56:16.162610, 3, 0, 0, 99/11016, 23.892/250.0, 49, 300
13:56:17.166121, 0, 70, 16, 8377/11019, 125.631/250.0, 67, 1845
13:56:17.168500, 1, 62, 12, 8377/11019, 104.06400000000001/250.0, 54, 1875
13:56:17.170937, 2, 21, 9, 8377/11019, 126.14/250.0, 60, 1845
13:56:17.173883, 3, 0, 0, 99/11016, 23.997/250.0, 49, 300
13:56:18.178017, 0, 66, 16, 8377/11019, 125.058/250.0, 66, 1845
13:56:18.181058, 1, 61, 11, 8377/11019, 104.241/250.0, 54, 1875
