Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:14:46.353229, 1, 63, 19, 8377/11019, 117.95400000000001/250.0, 57, 1875
05:14:46.356663, 2, 64, 11, 8377/11019, 91.985/250.0, 61, 1845
05:14:46.359663, 3, 67, 38, 8474/11016, 113.424/250.0, 70, 1860
05:14:47.363180, 0, 63, 15, 8377/11019, 132.952/250.0, 56, 1875
05:14:47.366943, 1, 64, 18, 8377/11019, 117.59400000000001/250.0, 56, 1875
05:14:47.369181, 2, 61, 11, 8377/11019, 93.898/250.0, 61, 1845
05:14:47.371502, 3, 56, 13, 8474/11016, 127.711/250.0, 69, 1860
05:14:48.375289, 0, 63, 15, 8377/11019, 120.58800000000001/250.0, 57, 1875
05:14:48.377884, 1, 64, 18, 8377/11019, 118.301/250.0, 56, 1875
05:14:48.380784, 2, 60, 10, 8377/11019, 112.534/250.0, 61, 1845
05:14:48.383645, 3, 55, 13, 8474/11016, 127.932/250.0, 70, 1860
05:14:49.387459, 0, 64, 15, 8377/11019, 117.24600000000001/250.0, 57, 1875
05:14:49.390104, 1, 63, 18, 8377/11019, 131.655/250.0, 57, 1875
05:14:49.392891, 2, 62, 10, 8377/11019, 112.876/250.0, 61, 1845
05:14:49.395510, 3, 56, 14, 8474/11016, 127.929/250.0, 70, 1860
05:14:50.399158, 0, 65, 16, 8377/11019, 112.02/250.0, 57, 1875
05:14:50.401655, 1, 40, 11, 8377/11019, 106.935/250.0, 57, 1875
05:14:50.404780, 2, 62, 10, 8377/11019, 100.903/250.0, 61, 1845
05:14:50.407604, 3, 57, 14, 8474/11016, 119.799/250.0, 70, 1860
05:14:51.411428, 0, 64, 15, 8377/11019, 112.126/250.0, 57, 1875
05:14:51.413876, 1, 58, 13, 8377/11019, 107.032/250.0, 57, 1875
05:14:51.416412, 2, 65, 11, 8377/11019, 112.86/250.0, 61, 1845
05:14:51.418908, 3, 58, 14, 8474/11016, 118.956/250.0, 70, 1860
05:14:52.423212, 0, 63, 15, 8377/11019, 114.151/250.0, 58, 1875
05:14:52.425523, 1, 45, 10, 8377/11019, 81.9/250.0, 56, 1875
05:14:52.428068, 2, 59, 11, 8377/11019, 101.755/250.0, 61, 1845
05:14:52.431038, 3, 56, 15, 8474/11016, 128.722/250.0, 71, 1860
05:14:53.435209, 0, 62, 17, 8377/11019, 112.37400000000001/250.0, 58, 1875
05:14:53.438331, 1, 3, 0, 8377/11019, 117.559/250.0, 57, 1875
05:14:53.441192, 2, 41, 5, 8377/11019, 101.708/250.0, 62, 1845
05:14:53.444750, 3, 58, 15, 8474/11016, 128.579/250.0, 70, 1860
05:14:54.448647, 0, 66, 15, 8377/11019, 133.50900000000001/250.0, 58, 1875
05:14:54.451275, 1, 46, 12, 8377/11019, 118.147/250.0, 57, 1875
05:14:54.453785, 2, 59, 5, 8377/11019, 90.28/250.0, 62, 1845
05:14:54.456283, 3, 58, 15, 8474/11016, 114.44/250.0, 70, 1860
05:14:55.459347, 0, 65, 15, 8377/11019, 133.934/250.0, 58, 1875
05:14:55.461749, 1, 62, 17, 8377/11019, 118.342/250.0, 57, 1875
05:14:55.466444, 2, 55, 6, 8377/11019, 90.425/250.0, 62, 1845
05:14:55.470143, 3, 56, 14, 8474/11016, 114.483/250.0, 70, 1860
05:14:56.474462, 0, 61, 14, 8377/11019, 112.494/250.0, 58, 1875
05:14:56.477014, 1, 61, 17, 8377/11019, 118.212/250.0, 57, 1875
05:14:56.479981, 2, 56, 5, 8377/11019, 97.113/250.0, 62, 1845
05:14:56.483083, 3, 57, 14, 8474/11016, 114.146/250.0, 71, 1860
05:14:57.486764, 0, 64, 15, 8377/11019, 133.736/250.0, 58, 1875
05:14:57.489451, 1, 61, 18, 8377/11019, 123.941/250.0, 58, 1875
05:14:57.491878, 2, 57, 5, 8377/11019, 89.864/250.0, 62, 1845
05:14:57.496405, 3, 57, 14, 8474/11016, 116.34100000000001/250.0, 71, 1860
05:14:58.499489, 0, 66, 16, 8377/11019, 90.001/250.0, 57, 1875
05:14:58.503656, 1, 64, 18, 8377/11019, 129.209/250.0, 58, 1875
05:14:58.506315, 2, 15, 4, 8377/11019, 114.394/250.0, 63, 1830
05:14:58.508278, 3, 53, 16, 8474/11016, 115.554/250.0, 71, 1860
05:14:59.511985, 0, 40, 9, 8377/11019, 120.94500000000001/250.0, 58, 1875
05:14:59.515690, 1, 63, 19, 8377/11019, 123.014/250.0, 58, 1875
05:14:59.518846, 2, 68, 34, 8377/11019, 113.537/250.0, 63, 1830
05:14:59.522045, 3, 33, 7, 8474/11016, 111.541/250.0, 70, 1860
05:15:00.526255, 0, 59, 11, 8377/11019, 110.818/250.0, 58, 1875
05:15:00.528981, 1, 65, 18, 8377/11019, 120.264/250.0, 58, 1875
05:15:00.532456, 2, 63, 10, 8377/11019, 92.22500000000001/250.0, 63, 1830
05:15:00.539123, 3, 52, 7, 8474/11016, 105.557/250.0, 70, 1860
05:15:01.543225, 0, 60, 11, 8377/11019, 91.061/250.0, 57, 1875
05:15:01.545669, 1, 66, 19, 8377/11019, 121.779/250.0, 58, 1875
05:15:01.550225, 2, 64, 11, 8377/11019, 114.51/250.0, 63, 1830
05:15:01.552680, 3, 52, 7, 8474/11016, 98.965/250.0, 70, 1860
05:15:02.556130, 0, 12, 2, 8377/11019, 90.786/250.0, 57, 1875
05:15:02.561187, 1, 63, 20, 8377/11019, 83.168/250.0, 57, 1875
05:15:02.563953, 2, 64, 11, 8377/11019, 103.518/250.0, 63, 1830
05:15:02.567275, 3, 10, 1, 8474/11016, 128.663/250.0, 71, 1860
05:15:03.571496, 0, 23, 6, 8377/11019, 133.803/250.0, 58, 1875
05:15:03.574240, 1, 16, 5, 8377/11019, 108.139/250.0, 58, 1875
05:15:03.577000, 2, 64, 12, 8377/11019, 101.96300000000001/250.0, 63, 1830
05:15:03.580162, 3, 23, 6, 8474/11016, 129.452/250.0, 71, 1860
